tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
302,2018-03-01 15:13:18,2018-03-01 15:18:21,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,996,Subscriber,1989,1,
1709,2018-03-01 15:14:40,2018-03-01 15:43:10,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,9,Subscriber,1989,1,
1538,2018-03-01 15:15:06,2018-03-01 15:40:45,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,378,Subscriber,1993,2,
628,2018-03-01 15:15:06,2018-03-01 15:25:35,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,121,W Broadway at Dorchester St,42.335693,-71.045859,296,Subscriber,1993,1,
246,2018-03-01 15:15:15,2018-03-01 15:19:22,107,Ames St at Main St,42.3625,-71.08822,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,1186,Subscriber,1985,2,
447,2018-03-01 15:15:17,2018-03-01 15:22:44,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,1928,Subscriber,1989,2,
472,2018-03-01 15:16:02,2018-03-01 15:23:55,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,107,Ames St at Main St,42.3625,-71.08822,319,Subscriber,1957,1,
661,2018-03-01 15:16:04,2018-03-01 15:27:05,159,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,199,Subscriber,1966,1,
1238,2018-03-01 15:16:26,2018-03-01 15:37:04,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,588,Subscriber,1992,1,
785,2018-03-01 15:16:34,2018-03-01 15:29:39,100,Davis Square,42.396969,-71.123024,142,Alewife Station at Russell Field,42.396105,-71.139459,1013,Subscriber,1955,1,
690,2018-03-01 15:16:37,2018-03-01 15:28:07,26,Washington St at Waltham St,42.341522,-71.068922,200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,375,Subscriber,1971,1,
393,2018-03-01 15:16:36,2018-03-01 15:23:09,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,33,Kenmore Square,42.348706,-71.097009,976,Subscriber,1996,1,
1047,2018-03-01 15:16:48,2018-03-01 15:34:15,181,Huron Ave. At Vassal Lane,42.381650612901176,-71.13426981498378,107,Ames St at Main St,42.3625,-71.08822,1698,Subscriber,1973,1,
482,2018-03-01 15:17:08,2018-03-01 15:25:10,23,Boston City Hall - 28 State St,42.35892,-71.057629,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,1045,Subscriber,1985,1,
138,2018-03-01 15:17:25,2018-03-01 15:19:44,177,University Park,42.36264779118595,-71.10006093978882,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,529,Subscriber,1987,1,
867,2018-03-01 15:18:09,2018-03-01 15:32:37,94,Main St at Austin St,42.375603,-71.064608,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1770,Subscriber,1972,1,
179,2018-03-01 15:18:15,2018-03-01 15:21:14,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1141,Subscriber,1978,1,
436,2018-03-01 15:18:39,2018-03-01 15:25:55,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,1911,Subscriber,1990,1,
302,2018-03-01 15:19:13,2018-03-01 15:24:16,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1614,Subscriber,1978,2,
