tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
158,2018-02-01 07:17:41,2018-02-01 07:20:19,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,100,Davis Square,42.396969,-71.123024,1221,Subscriber,1980,1,
203,2018-02-01 07:18:16,2018-02-01 07:21:40,26,Washington St at Waltham St,42.341522,-71.068922,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,404,Subscriber,1981,1,
1229,2018-02-01 07:18:29,2018-02-01 07:38:59,58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,33,Kenmore Square,42.348706,-71.097009,1658,Subscriber,1998,1,
829,2018-02-01 07:18:24,2018-02-01 07:32:14,125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,1617,Subscriber,1968,1,
789,2018-02-01 07:18:28,2018-02-01 07:31:37,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,107,Ames St at Main St,42.3625,-71.08822,1819,Subscriber,1986,1,
731,2018-02-01 07:18:42,2018-02-01 07:30:54,60,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,1296,Subscriber,1978,2,
870,2018-02-01 07:19:14,2018-02-01 07:33:44,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,11,Longwood Ave at Binney St,42.338629,-71.1065,1133,Subscriber,1973,1,
560,2018-02-01 07:19:16,2018-02-01 07:28:37,161,W Broadway at D St,42.3391085,-71.0514432,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,1188,Subscriber,1984,1,
430,2018-02-01 07:19:49,2018-02-01 07:27:00,163,The Lawn on D,42.344792,-71.044024,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,1894,Subscriber,1992,1,
394,2018-02-01 07:19:50,2018-02-01 07:26:25,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,49,Stuart St at Charles St,42.351146,-71.066289,1145,Subscriber,1995,2,
265,2018-02-01 07:19:54,2018-02-01 07:24:20,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,179,MIT Vassar St,42.355601213279265,-71.10394477844238,1116,Subscriber,1970,1,
423,2018-02-01 07:20:07,2018-02-01 07:27:11,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,23,Boston City Hall - 28 State St,42.35892,-71.057629,1866,Subscriber,1976,1,
565,2018-02-01 07:20:25,2018-02-01 07:29:51,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,739,Subscriber,1984,1,
495,2018-02-01 07:21:20,2018-02-01 07:29:35,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,177,University Park,42.36264779118595,-71.10006093978882,1917,Subscriber,1955,1,
669,2018-02-01 07:23:06,2018-02-01 07:34:15,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,107,Ames St at Main St,42.3625,-71.08822,636,Subscriber,1957,2,
877,2018-02-01 07:25:23,2018-02-01 07:40:00,9,Commonwealth Ave at Buick St,42.35062177153799,-71.11288218766276,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,941,Subscriber,1993,1,
848,2018-02-01 07:25:40,2018-02-01 07:39:48,159,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,1752,Subscriber,1988,1,
259,2018-02-01 07:26:07,2018-02-01 07:30:26,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1321,Subscriber,1969,1,
511,2018-02-01 07:26:38,2018-02-01 07:35:10,58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,192,Purchase St at Pearl St,42.354659,-71.053181,934,Subscriber,1958,1,
1220,2018-02-01 07:27:26,2018-02-01 07:47:47,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,435,Subscriber,1987,1,
1289,2018-02-01 07:28:01,2018-02-01 07:49:30,82,Washington Square at Washington St. / Beacon St. TEMPORARY WINTER LOCATION,42.338254270769454,-71.13905482012342,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,1910,Subscriber,1978,1,
444,2018-02-01 07:28:04,2018-02-01 07:35:28,49,Stuart St at Charles St,42.351146,-71.066289,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,1900,Subscriber,1969,1,
486,2018-02-01 07:28:22,2018-02-01 07:36:29,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,192,Purchase St at Pearl St,42.354659,-71.053181,1735,Subscriber,1960,1,
633,2018-02-01 07:29:34,2018-02-01 07:40:07,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,107,Ames St at Main St,42.3625,-71.08822,1665,Subscriber,1962,1,
1062,2018-02-01 07:29:49,2018-02-01 07:47:31,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,950,Subscriber,1988,1,
449,2018-02-01 07:30:22,2018-02-01 07:37:51,33,Kenmore Square,42.348706,-71.097009,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1560,Subscriber,1982,1,
631,2018-02-01 07:30:58,2018-02-01 07:41:29,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,136,ID Building West,42.344796,-71.031614,778,Subscriber,1956,1,
566,2018-02-01 07:31:08,2018-02-01 07:40:34,54,Tremont St at West St,42.354979,-71.063348,150,State Street at Channel Center,42.344137,-71.052608,30,Subscriber,1992,1,
1067,2018-02-01 07:31:31,2018-02-01 07:49:18,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,874,Subscriber,1984,2,
1220,2018-02-01 07:32:11,2018-02-01 07:52:31,66,Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,42.34922469338298,-71.13275302578586,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,497,Subscriber,1987,1,
1571,2018-02-01 07:32:30,2018-02-01 07:58:41,149,175 N Harvard St,42.363796,-71.129164,159,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,98,Subscriber,1993,2,
1223,2018-02-01 07:32:36,2018-02-01 07:52:59,17,Soldiers Field Park - 111 Western Ave,42.36514362978903,-71.11987173557281,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,320,Subscriber,1980,1,
245,2018-02-01 07:33:07,2018-02-01 07:37:12,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,759,Subscriber,1988,1,
589,2018-02-01 07:33:12,2018-02-01 07:43:02,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,1923,Subscriber,1970,1,
723,2018-02-01 07:33:50,2018-02-01 07:45:54,82,Washington Square at Washington St. / Beacon St. TEMPORARY WINTER LOCATION,42.338254270769454,-71.13905482012342,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,29,Subscriber,1992,2,
144,2018-02-01 07:34:03,2018-02-01 07:36:27,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,100,Davis Square,42.396969,-71.123024,701,Subscriber,1972,1,
326,2018-02-01 07:34:15,2018-02-01 07:39:41,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,23,Boston City Hall - 28 State St,42.35892,-71.057629,1739,Subscriber,1970,1,
1543,2018-02-01 07:34:31,2018-02-01 08:00:15,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1662,Subscriber,1958,1,
319,2018-02-01 07:34:36,2018-02-01 07:39:56,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,803,Subscriber,1989,1,
662,2018-02-01 07:34:36,2018-02-01 07:45:39,33,Kenmore Square,42.348706,-71.097009,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,47,Subscriber,1986,1,
661,2018-02-01 07:34:48,2018-02-01 07:45:50,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,60,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,1938,Subscriber,1987,1,
291,2018-02-01 07:34:55,2018-02-01 07:39:46,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,570,Subscriber,1990,2,
1545,2018-02-01 07:35:24,2018-02-01 08:01:10,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,192,Purchase St at Pearl St,42.354659,-71.053181,711,Subscriber,1965,2,
996,2018-02-01 07:35:28,2018-02-01 07:52:05,115,Porter Square Station,42.387995,-71.119084,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,114,Subscriber,1981,1,
225,2018-02-01 07:35:33,2018-02-01 07:39:19,121,W Broadway at Dorchester St,42.335693,-71.045859,150,State Street at Channel Center,42.344137,-71.052608,898,Subscriber,1991,1,
622,2018-02-01 07:36:17,2018-02-01 07:46:40,133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,159,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,1007,Subscriber,1990,2,
288,2018-02-01 07:36:27,2018-02-01 07:41:15,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.362427842912396,-71.08495473861694,1178,Subscriber,1997,1,
262,2018-02-01 07:36:27,2018-02-01 07:40:50,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,100,Subscriber,1995,1,
510,2018-02-01 07:36:46,2018-02-01 07:45:17,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,49,Stuart St at Charles St,42.351146,-71.066289,1710,Subscriber,1988,1,
1699,2018-02-01 07:36:58,2018-02-01 08:05:18,47,Cross St at Hanover St,42.362811,-71.056067,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,120,Subscriber,1958,2,
243,2018-02-01 07:37:19,2018-02-01 07:41:23,151,Surface Rd at India St,42.358155,-71.052163,35,Arch St at Franklin St,42.35581929709065,-71.05887290099417,1196,Subscriber,1975,1,
579,2018-02-01 07:37:33,2018-02-01 07:47:13,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,59,Chinatown Gate Plaza,42.351356,-71.059367,592,Subscriber,1980,1,
635,2018-02-01 07:38:10,2018-02-01 07:48:45,161,W Broadway at D St,42.3391085,-71.0514432,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,828,Subscriber,1990,2,
