tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
548,2017-12-01 15:06:26,2017-12-01 15:15:35,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,638,Subscriber,1957,1,
750,2017-12-01 15:06:32,2017-12-01 15:19:03,5,Northeastern University - North Parking Lot,42.341814,-71.090179,179,MIT Vassar St,42.355601213279265,-71.10394477844238,520,Subscriber,1982,1,
92,2017-12-01 15:07:01,2017-12-01 15:08:33,107,Ames St at Main St,42.3625,-71.08822,189,Kendall T,42.362427842912396,-71.08495473861694,39,Subscriber,1994,1,
1244,2017-12-01 15:07:12,2017-12-01 15:27:56,6,Cambridge St at Joy St,42.361199417496216,-71.06519486764228,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,1115,Subscriber,1995,1,
956,2017-12-01 15:07:16,2017-12-01 15:23:12,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,1858,Subscriber,1994,1,
494,2017-12-01 15:08:08,2017-12-01 15:16:22,42,Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.352583438376996,-71.06766249993596,48,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,1704,Subscriber,1978,1,
770,2017-12-01 15:08:58,2017-12-01 15:21:48,189,Kendall T,42.362427842912396,-71.08495473861694,57,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,1919,Subscriber,1987,1,
776,2017-12-01 15:09:02,2017-12-01 15:21:59,189,Kendall T,42.362427842912396,-71.08495473861694,98,Warren St at Chelsea St,42.371848,-71.060292,973,Subscriber,1952,1,
2244,2017-12-01 15:09:15,2017-12-01 15:46:40,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,720,Subscriber,1974,1,
76,2017-12-01 15:09:23,2017-12-01 15:10:40,51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,1808,Subscriber,1990,2,
556,2017-12-01 15:09:33,2017-12-01 15:18:50,78,Union Square - Somerville,42.379637,-71.095319,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1303,Subscriber,1969,1,
364,2017-12-01 15:10:22,2017-12-01 15:16:26,42,Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.352583438376996,-71.06766249993596,48,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,314,Subscriber,1979,1,
313,2017-12-01 15:10:50,2017-12-01 15:16:03,98,Warren St at Chelsea St,42.371848,-71.060292,195,Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116516,1753,Subscriber,1991,1,
