station_id,longitude,latitude
222,-71.062256,42.343749
224,-71.14347895,42.38267828
225,-71.09759867,42.37119728
226,-71.12126246,42.35154735
227,-71.10057592,42.349496
228,-71.08043551,42.36161932
231,-71.0837665,42.38172116
232,-71.07929528,42.30412793
233,-71.10728681,42.34619708
234,-71.09850592,42.3951715
235,-71.08318716,42.38762811
236,-71.07746601,42.39223284
237,-71.14863031,42.37497659
238,-71.12288117,42.39138549
239,-71.11133695,42.39407224
240,-71.09516323,42.36599406
241,-71.093641,42.267902
242,-71.127754,42.287072
243,-71.13997621,42.34836802
244,-71.121145,42.292706
245,-71.09372016,42.27454526
246,-71.1283744,42.2861532
247,-71.09723791,42.34469571
248,-71.08621831,42.28075383
249,-71.15173094,42.34021774
250,-71.067688,42.35186
252,-71.15072787,42.33553092
253,-71.079463,42.286251
254,-71.087111,42.2945833
255,-71.0783056,42.2944167
256,-71.071806,42.290333
257,-71.0711111,42.2873611
258,-71.05466698,42.28297568
259,-71.073,42.297722
260,-71.0605833,42.2996667
262,-71.1600278,42.3528611
263,-71.09325,42.2773889
264,-71.1413333,42.3429444
274,-71.010601,42.385249
277,-71.05483353,42.37401065
278,-71.11429807,42.31212028
279,-71.107669,42.306539
280,-71.070629,42.380857
281,-71.060875,42.380584
282,-71.104374,42.316966
283,-71.063829,42.374917
284,-71.10446777,42.33391973
293,-71.09015821,42.32946326
294,-71.09727063,42.34920569
295,-71.05057415,42.33023265
296,-71.02495,42.3334
306,-71.07796,42.31784
307,-71.05751,42.3428
